[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475424524, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475424825, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475427316, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475427914, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475428037, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475428185, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475428367, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475428510, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475428718, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475429050, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475429763, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475430134, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475431157, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475431497, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475433303, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475433508, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475433646, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475434170, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475434486, student=s, exam=s)
[vision] NO_FACE_LONG (code=0, x=0, y=0, time=1765475438028, student=s, exam=s)
[vision] OLHANDO_ESQUERDA (code=0, x=0, y=0, time=1765475438444, student=s, exam=s)
[vision] NO_FACE_LONG (code=0, x=0, y=0, time=1765475439652, student=s, exam=s)
[vision] OLHANDO_ESQUERDA (code=0, x=0, y=0, time=1765475442122, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475445598, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475445763, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475445823, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475446165, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475450621, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475450969, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475451265, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475451586, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475453705, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475454965, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475457934, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475458245, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475458395, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475458475, student=s, exam=s)
[vision] OLHANDO_PARA_CIMA (code=0, x=0, y=0, time=1765475467749, student=s, exam=s)
[vision] DETECTADO_CENTRO (code=0, x=0, y=0, time=1765475468021, student=s, exam=s)
[vision] OLHANDO_PARA_BAIXO (code=0, x=0, y=0, time=1765475468382, student=s, exam=s)
[vision] DETECTADO_CENTRO (code=0, x=0, y=0, time=1765475468819, student=s, exam=s)
[vision] OLHANDO_PARA_CIMA (code=0, x=0, y=0, time=1765475469550, student=s, exam=s)
[vision] DETECTADO_CENTRO (code=0, x=0, y=0, time=1765475470356, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475485085, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475485193, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475485318, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475485463, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475485958, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475486087, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475486213, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475486338, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475486587, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475486724, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475488628, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475489464, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475489772, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475489904, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475490173, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475490743, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475490995, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475491664, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475491804, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475492051, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475493035, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475493150, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475493517, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475493874, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475494133, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475494383, student=s, exam=s)
[vision] OLHANDO_PARA_BAIXO (code=0, x=0, y=0, time=1765475494494, student=s, exam=s)
[vision] DETECTADO_CENTRO (code=0, x=0, y=0, time=1765475494621, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475496085, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475496408, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475496521, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475496906, student=s, exam=s)
