[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763081585976, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081621777, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081621779, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081621778, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081621770, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081621781, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081621783, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081621786, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081621784, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081621807, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081621780, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081621808, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081621807, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081621808, student=asdd, exam=asddd)
[keyboard] ALT (code=65536, x=0, y=0, time=1763081622426, student=asdd, exam=asddd)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763081622500, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081686527, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081686526, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081686521, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081686529, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081686530, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081686531, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081686534, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081686532, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081686535, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081686544, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081686545, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081686546, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081686548, student=asdd, exam=asddd)
[keyboard] ALT (code=65536, x=0, y=0, time=1763081686993, student=asdd, exam=asddd)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763081687077, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763084821023, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763084821021, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763084821025, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763084821026, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763084821026, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763084821028, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763084821028, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763084821030, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763084821031, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763084821050, student=asdd, exam=asddd)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084821057, student=asdd, exam=asddd)
[mouse] MOUSE (code=0, x=536, y=220, time=1763084821079, student=asdd, exam=asddd)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084821608, student=asdd, exam=asddd)
[mouse] MOUSE (code=0, x=536, y=220, time=1763084821614, student=asdd, exam=asddd)
[keyboard] s (code=115, x=0, y=0, time=1763084822319, student=asdd, exam=asddd)
[keyboard] a (code=97, x=0, y=0, time=1763084822334, student=asdd, exam=asddd)
[keyboard] d (code=100, x=0, y=0, time=1763084822454, student=asdd, exam=asddd)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084824469, student=asdd, exam=asddd)
