[keyboard]   (code=32, x=0, y=0, time=1763429269993, student=Anonimo, exam=99)
[keyboard] a (code=97, x=0, y=0, time=1763429270161, student=Anonimo, exam=99)
[keyboard] s (code=115, x=0, y=0, time=1763429270367, student=Anonimo, exam=99)
[keyboard] d (code=100, x=0, y=0, time=1763429270387, student=Anonimo, exam=99)
[mouse] MOUSE (code=0, x=70, y=33, time=1763429270559, student=Anonimo, exam=99)
[keyboard] a (code=97, x=0, y=0, time=1763429270685, student=Anonimo, exam=99)
[keyboard] s (code=115, x=0, y=0, time=1763429270807, student=Anonimo, exam=99)
[keyboard] d (code=100, x=0, y=0, time=1763429270909, student=Anonimo, exam=99)
[mouse] MOUSE (code=0, x=70, y=33, time=1763429271242, student=Anonimo, exam=99)
[keyboard] q (code=113, x=0, y=0, time=1763429271458, student=Anonimo, exam=99)
[keyboard] w (code=119, x=0, y=0, time=1763429271485, student=Anonimo, exam=99)
[keyboard] e (code=101, x=0, y=0, time=1763429271587, student=Anonimo, exam=99)
[keyboard] q (code=113, x=0, y=0, time=1763429271780, student=Anonimo, exam=99)
[keyboard] w (code=119, x=0, y=0, time=1763429271849, student=Anonimo, exam=99)
[keyboard] e (code=101, x=0, y=0, time=1763429271906, student=Anonimo, exam=99)
[mouse] MOUSE (code=0, x=70, y=33, time=1763429271990, student=Anonimo, exam=99)
[keyboard] q (code=113, x=0, y=0, time=1763429272076, student=Anonimo, exam=99)
[keyboard] w (code=119, x=0, y=0, time=1763429272138, student=Anonimo, exam=99)
[keyboard] e (code=101, x=0, y=0, time=1763429272229, student=Anonimo, exam=99)
[keyboard] q (code=113, x=0, y=0, time=1763429272364, student=Anonimo, exam=99)
[mouse] MOUSE (code=0, x=70, y=33, time=1763429272371, student=Anonimo, exam=99)
[keyboard] w (code=119, x=0, y=0, time=1763429272421, student=Anonimo, exam=99)
[keyboard] e (code=101, x=0, y=0, time=1763429272508, student=Anonimo, exam=99)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763429273415, student=Anonimo, exam=99)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763429274431, student=Anonimo, exam=99)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763429275377, student=Anonimo, exam=99)
