[keyboard] null (code=115, x=0, y=0, time=1763001860518, student=Isac, exam=Prova2)
[keyboard] null (code=32, x=0, y=0, time=1763001860719, student=Isac, exam=Prova2)
[keyboard] null (code=32, x=0, y=0, time=1763001861039, student=Isac, exam=Prova2)
[keyboard] null (code=32, x=0, y=0, time=1763001861386, student=Isac, exam=Prova2)
[keyboard] null (code=32, x=0, y=0, time=1763001862481, student=Isac, exam=Prova2)
[keyboard] null (code=32, x=0, y=0, time=1763001863772, student=Isac, exam=Prova2)
[keyboard] null (code=32, x=0, y=0, time=1763001864170, student=Isac, exam=Prova2)
[keyboard] null (code=32, x=0, y=0, time=1763001864604, student=Isac, exam=Prova2)
[keyboard] null (code=32, x=0, y=0, time=1763001866507, student=Isac, exam=Prova2)
[keyboard] null (code=32, x=0, y=0, time=1763001866683, student=Isac, exam=Prova2)
[keyboard] null (code=32, x=0, y=0, time=1763001867025, student=Isac, exam=Prova2)
[keyboard] null (code=32, x=0, y=0, time=1763001867241, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001872769, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001872775, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001872778, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001872786, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001872776, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001872778, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001872787, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001872787, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001872789, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001872789, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001872790, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001872790, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001874548, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001874550, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001874550, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001874551, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001874551, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001874552, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001874552, student=Isac, exam=Prova2)
