[mouse] MOUSE_DOWN (code=0, x=572, y=237, time=1763078983352, student=quero quero, exam=115)
[keyboard]   (code=32, x=0, y=0, time=1763078983757, student=quero quero, exam=115)
[keyboard] q (code=113, x=0, y=0, time=1763078983767, student=quero quero, exam=115)
[keyboard] w (code=119, x=0, y=0, time=1763078983864, student=quero quero, exam=115)
[keyboard] e (code=101, x=0, y=0, time=1763078983936, student=quero quero, exam=115)
[keyboard] q (code=113, x=0, y=0, time=1763078984123, student=quero quero, exam=115)
[mouse] MOUSE_DOWN (code=0, x=512, y=295, time=1763078984173, student=quero quero, exam=115)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763078985966, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763078988744, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763078988745, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763078988746, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763078988747, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763078988747, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763078988748, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763078988748, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763078988748, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763078988750, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763078988765, student=quero quero, exam=115)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763078988776, student=quero quero, exam=115)
[mouse] MOUSE_DOWN (code=0, x=501, y=162, time=1763078988783, student=quero quero, exam=115)
[keyboard]   (code=32, x=0, y=0, time=1763078989159, student=quero quero, exam=115)
[keyboard] q (code=113, x=0, y=0, time=1763078989299, student=quero quero, exam=115)
[keyboard] w (code=119, x=0, y=0, time=1763078989349, student=quero quero, exam=115)
[keyboard] e (code=101, x=0, y=0, time=1763078989440, student=quero quero, exam=115)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763078989779, student=quero quero, exam=115)
[mouse] MOUSE_DOWN (code=0, x=501, y=162, time=1763078989783, student=quero quero, exam=115)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763078996491, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763079005987, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763079005989, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763079005991, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763079005992, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763079005994, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763079005993, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763079005995, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763079005996, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763079005998, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763079005999, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763079006013, student=quero quero, exam=115)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763079006026, student=quero quero, exam=115)
[mouse] MOUSE_DOWN (code=0, x=18, y=83, time=1763079006035, student=quero quero, exam=115)
[keyboard] w (code=119, x=0, y=0, time=1763079006537, student=quero quero, exam=115)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763079006994, student=quero quero, exam=115)
[mouse] MOUSE_DOWN (code=0, x=18, y=83, time=1763079006995, student=quero quero, exam=115)
[keyboard] q (code=113, x=0, y=0, time=1763079007380, student=quero quero, exam=115)
[keyboard] w (code=119, x=0, y=0, time=1763079008025, student=quero quero, exam=115)
[mouse] MOUSE_DOWN (code=0, x=18, y=83, time=1763079008663, student=quero quero, exam=115)
[keyboard] q (code=113, x=0, y=0, time=1763079008839, student=quero quero, exam=115)
[keyboard] a (code=97, x=0, y=0, time=1763079009148, student=quero quero, exam=115)
[keyboard] a (code=97, x=0, y=0, time=1763079009471, student=quero quero, exam=115)
[keyboard] a (code=97, x=0, y=0, time=1763079009902, student=quero quero, exam=115)
[keyboard] d (code=100, x=0, y=0, time=1763079009974, student=quero quero, exam=115)
[mouse] MOUSE_DOWN (code=0, x=18, y=83, time=1763079010277, student=quero quero, exam=115)
[mouse] MOUSE_DOWN (code=0, x=18, y=83, time=1763079010779, student=quero quero, exam=115)
[mouse] MOUSE_DOWN (code=0, x=18, y=83, time=1763079011218, student=quero quero, exam=115)
[mouse] MOUSE_DOWN (code=0, x=18, y=83, time=1763079011491, student=quero quero, exam=115)
[mouse] MOUSE_DOWN (code=0, x=18, y=83, time=1763079012297, student=quero quero, exam=115)
[mouse] MOUSE_DOWN (code=0, x=18, y=83, time=1763079013076, student=quero quero, exam=115)
[mouse] MOUSE_DOWN (code=0, x=18, y=83, time=1763079013580, student=quero quero, exam=115)
[mouse] MOUSE_DOWN (code=0, x=18, y=83, time=1763079014330, student=quero quero, exam=115)
[mouse] MOUSE_DOWN (code=0, x=18, y=83, time=1763079015300, student=quero quero, exam=115)
[mouse] MOUSE_DOWN (code=0, x=18, y=83, time=1763079015342, student=quero quero, exam=115)
[mouse] MOUSE_DOWN (code=0, x=18, y=83, time=1763079054745, student=quero quero, exam=115)
[keyboard] e (code=101, x=0, y=0, time=1763079056042, student=quero quero, exam=115)
[keyboard] q (code=113, x=0, y=0, time=1763079057368, student=quero quero, exam=115)
[keyboard] w (code=119, x=0, y=0, time=1763079057473, student=quero quero, exam=115)
[keyboard] ALT (code=65536, x=0, y=0, time=1763079057981, student=quero quero, exam=115)
[keyboard] ALT (code=65536, x=0, y=0, time=1763079059472, student=quero quero, exam=115)
[keyboard] ALT (code=65536, x=0, y=0, time=1763079060060, student=quero quero, exam=115)
[keyboard] ALT (code=65536, x=0, y=0, time=1763079060426, student=quero quero, exam=115)
[keyboard] ALT (code=65536, x=0, y=0, time=1763079060910, student=quero quero, exam=115)
[keyboard] ALT (code=65536, x=0, y=0, time=1763079061297, student=quero quero, exam=115)
[keyboard] ALT (code=65536, x=0, y=0, time=1763079061990, student=quero quero, exam=115)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763079062234, student=quero quero, exam=115)
[mouse] MOUSE_DOWN (code=0, x=536, y=194, time=1763079062236, student=quero quero, exam=115)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763079062667, student=quero quero, exam=115)
[keyboard] ALT (code=65536, x=0, y=0, time=1763079063120, student=quero quero, exam=115)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763079063438, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763079064548, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763079064563, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763079064566, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763079064567, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763079064569, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763079064569, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763079064570, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763079064568, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763079064570, student=quero quero, exam=115)
[keyboard] ALT (code=65536, x=0, y=0, time=1763079064725, student=quero quero, exam=115)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763079064806, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763079065333, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763079065336, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763079065335, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763079065335, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763079065336, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763079065337, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763079065325, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763079065337, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763079065338, student=quero quero, exam=115)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763079065804, student=quero quero, exam=115)
[mouse] MOUSE_DOWN (code=0, x=536, y=194, time=1763079065806, student=quero quero, exam=115)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763079066184, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763079066946, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763079066933, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763079066948, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763079066950, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763079066951, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763079066952, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763079066955, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763079066956, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763079066958, student=quero quero, exam=115)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763079067523, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763079068182, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763079068193, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763079068194, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763079068194, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763079068195, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763079068198, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763079068196, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763079068199, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763079068200, student=quero quero, exam=115)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763079070704, student=quero quero, exam=115)
