[focus] null (code=0, x=0, y=0, time=1762999272497, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999272498, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999273389, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999273395, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999273395, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999273396, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999273396, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999273400, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999273401, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999273404, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999273405, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999273406, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999273408, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999273409, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999273716, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999273714, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999273718, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999273719, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999273721, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999273722, student=Colega, exam=prova1)
[mouse] null (code=0, x=5, y=1, time=1762999273724, student=Colega, exam=prova1)
[keyboard] null (code=102, x=0, y=0, time=1762999274553, student=Colega, exam=prova1)
[keyboard] null (code=102, x=0, y=0, time=1762999274995, student=Colega, exam=prova1)
[keyboard] null (code=102, x=0, y=0, time=1762999275195, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999275855, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999275864, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999275865, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999275867, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999275869, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999275870, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999275870, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999275871, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999275871, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999275872, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999275872, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999275873, student=Colega, exam=prova1)
