[focus] null (code=0, x=0, y=0, time=1763002592517, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002593612, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002593613, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002593615, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002593616, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002593616, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002593616, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002593617, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002593618, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002593617, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002593631, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002593635, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002593635, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002593637, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002593638, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002593640, student=Anonimo, exam=Teste)
[mouse] null (code=0, x=638, y=284, time=1763002593644, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002593643, student=Anonimo, exam=Teste)
[keyboard] null (code=97, x=0, y=0, time=1763002593877, student=Anonimo, exam=Teste)
[keyboard] null (code=115, x=0, y=0, time=1763002593923, student=Anonimo, exam=Teste)
[keyboard] null (code=100, x=0, y=0, time=1763002594038, student=Anonimo, exam=Teste)
[keyboard] null (code=97, x=0, y=0, time=1763002594311, student=Anonimo, exam=Teste)
[keyboard] null (code=115, x=0, y=0, time=1763002594375, student=Anonimo, exam=Teste)
[keyboard] null (code=100, x=0, y=0, time=1763002594436, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002594669, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002594670, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002594670, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002594671, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002594671, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002594671, student=Anonimo, exam=Teste)
[mouse] null (code=0, x=504, y=301, time=1763002594672, student=Anonimo, exam=Teste)
[keyboard] null (code=97, x=0, y=0, time=1763002594678, student=Anonimo, exam=Teste)
[mouse] null (code=0, x=503, y=301, time=1763002595107, student=Anonimo, exam=Teste)
[keyboard] null (code=97, x=0, y=0, time=1763002595495, student=Anonimo, exam=Teste)
[mouse] null (code=0, x=503, y=301, time=1763002595496, student=Anonimo, exam=Teste)
[keyboard] null (code=115, x=0, y=0, time=1763002595570, student=Anonimo, exam=Teste)
[keyboard] null (code=100, x=0, y=0, time=1763002595641, student=Anonimo, exam=Teste)
[keyboard] null (code=97, x=0, y=0, time=1763002595807, student=Anonimo, exam=Teste)
[mouse] null (code=0, x=503, y=301, time=1763002595807, student=Anonimo, exam=Teste)
[keyboard] null (code=115, x=0, y=0, time=1763002595874, student=Anonimo, exam=Teste)
[keyboard] null (code=100, x=0, y=0, time=1763002595926, student=Anonimo, exam=Teste)
[mouse] null (code=0, x=503, y=301, time=1763002596077, student=Anonimo, exam=Teste)
[keyboard] null (code=97, x=0, y=0, time=1763002596108, student=Anonimo, exam=Teste)
[keyboard] null (code=115, x=0, y=0, time=1763002596148, student=Anonimo, exam=Teste)
[keyboard] null (code=100, x=0, y=0, time=1763002596228, student=Anonimo, exam=Teste)
[mouse] null (code=0, x=503, y=301, time=1763002596361, student=Anonimo, exam=Teste)
[keyboard] null (code=97, x=0, y=0, time=1763002596364, student=Anonimo, exam=Teste)
[keyboard] null (code=115, x=0, y=0, time=1763002596385, student=Anonimo, exam=Teste)
[keyboard] null (code=100, x=0, y=0, time=1763002596479, student=Anonimo, exam=Teste)
[keyboard] null (code=100, x=0, y=0, time=1763002596506, student=Anonimo, exam=Teste)
[mouse] null (code=0, x=497, y=302, time=1763002596507, student=Anonimo, exam=Teste)
[keyboard] null (code=65536, x=0, y=0, time=1763002597030, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002597084, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002597091, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002597093, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002597095, student=Anonimo, exam=Teste)
