[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766780074817, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780074917, student=zxz, exam=zxxz)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=zxz, exam=zxxz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766780075231, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780075326, student=zxz, exam=zxxz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766780075498, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780075776, student=zxz, exam=zxxz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766780076222, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780076312, student=zxz, exam=zxxz)
[vision_frame] null (code=0, x=0, y=0, time=0, student=zxz, exam=zxxz)
[keyboard] CTRL_C (code=0, x=0, y=0, time=0, student=zxz, exam=zxxz)
[keyboard] CTRL_C (code=0, x=0, y=0, time=0, student=zxz, exam=zxxz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766780077295, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780077446, student=zxz, exam=zxxz)
[keyboard] CTRL_C (code=0, x=0, y=0, time=0, student=zxz, exam=zxxz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766780077544, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780077620, student=zxz, exam=zxxz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766780077704, student=zxz, exam=zxxz)
[keyboard] CTRL_C (code=0, x=0, y=0, time=0, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780077791, student=zxz, exam=zxxz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766780078721, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780078805, student=zxz, exam=zxxz)
[vision_frame] null (code=0, x=0, y=0, time=0, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780079807, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780080875, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780081901, student=zxz, exam=zxxz)
[vision_frame] null (code=0, x=0, y=0, time=0, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780082965, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780084046, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780085136, student=zxz, exam=zxxz)
[vision_frame] null (code=0, x=0, y=0, time=0, student=zxz, exam=zxxz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766780086083, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780086165, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780087172, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780088184, student=zxz, exam=zxxz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766780088391, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780088588, student=zxz, exam=zxxz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766780088758, student=zxz, exam=zxxz)
[vision_frame] null (code=0, x=0, y=0, time=0, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780088963, student=zxz, exam=zxxz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766780089608, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780089807, student=zxz, exam=zxxz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766780089982, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780090088, student=zxz, exam=zxxz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766780090746, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780090919, student=zxz, exam=zxxz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766780091204, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780091294, student=zxz, exam=zxxz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766780091384, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780091476, student=zxz, exam=zxxz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766780091578, student=zxz, exam=zxxz)
[vision_frame] null (code=0, x=0, y=0, time=0, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780091982, student=zxz, exam=zxxz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766780092089, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780092194, student=zxz, exam=zxxz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766780092407, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780092575, student=zxz, exam=zxxz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766780092738, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780092993, student=zxz, exam=zxxz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766780093083, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780093608, student=zxz, exam=zxxz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766780093790, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780093879, student=zxz, exam=zxxz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766780094346, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780094782, student=zxz, exam=zxxz)
[vision_frame] null (code=0, x=0, y=0, time=0, student=zxz, exam=zxxz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766780095326, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780095507, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780096511, student=zxz, exam=zxxz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766780097050, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780097154, student=zxz, exam=zxxz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766780097494, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780097709, student=zxz, exam=zxxz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766780097909, student=zxz, exam=zxxz)
[vision_frame] null (code=0, x=0, y=0, time=0, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780097997, student=zxz, exam=zxxz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766780098295, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780098512, student=zxz, exam=zxxz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766780098604, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780098696, student=zxz, exam=zxxz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766780098811, student=zxz, exam=zxxz)
