[vision] NO_FACE_LONG (code=0, x=0, y=0, time=1765418491145, student=a, exam=a)
[vision] OLHANDO_PARA_CIMA (code=0, x=0, y=0, time=1765418491264, student=a, exam=a)
[vision] DETECTADO_CENTRO (code=0, x=0, y=0, time=1765418492017, student=a, exam=a)
[vision] OLHANDO_PARA_CIMA (code=0, x=0, y=0, time=1765418493998, student=a, exam=a)
[vision] DETECTADO_CENTRO (code=0, x=0, y=0, time=1765418496188, student=a, exam=a)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765418497411, student=a, exam=a)
[vision] OLHANDO_PARA_BAIXO (code=0, x=0, y=0, time=1765418497496, student=a, exam=a)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765418497533, student=a, exam=a)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765418497734, student=a, exam=a)
[vision] NO_FACE_LONG (code=0, x=0, y=0, time=1765418498169, student=a, exam=a)
[vision] OLHANDO_PARA_BAIXO (code=0, x=0, y=0, time=1765418498730, student=a, exam=a)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765418498774, student=a, exam=a)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765418498981, student=a, exam=a)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765418499492, student=a, exam=a)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765418499794, student=a, exam=a)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765418499953, student=a, exam=a)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765418500383, student=a, exam=a)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765418500616, student=a, exam=a)
[vision] OLHANDO_PARA_CIMA (code=0, x=0, y=0, time=1765418501053, student=a, exam=a)
[vision] OLHANDO_PARA_BAIXO (code=0, x=0, y=0, time=1765418501282, student=a, exam=a)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765418501712, student=a, exam=a)
[vision] DETECTADO_CENTRO (code=0, x=0, y=0, time=1765418501802, student=a, exam=a)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765418501826, student=a, exam=a)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765418503274, student=a, exam=a)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765418503397, student=a, exam=a)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765418503943, student=a, exam=a)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765418504446, student=a, exam=a)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765418506012, student=a, exam=a)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765418506665, student=a, exam=a)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765418506865, student=a, exam=a)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765418507999, student=a, exam=a)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765418511815, student=a, exam=a)
[vision] NO_FACE_LONG (code=0, x=0, y=0, time=1765418512130, student=a, exam=a)
[vision] DETECTADO_CENTRO (code=0, x=0, y=0, time=1765418513142, student=a, exam=a)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765418513152, student=a, exam=a)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765418514550, student=a, exam=a)
[vision] NO_FACE_LONG (code=0, x=0, y=0, time=1765418514947, student=a, exam=a)
[vision] DETECTADO_CENTRO (code=0, x=0, y=0, time=1765418515060, student=a, exam=a)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765418515075, student=a, exam=a)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765418516499, student=a, exam=a)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765418516601, student=a, exam=a)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765418516734, student=a, exam=a)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765418516908, student=a, exam=a)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765418517751, student=a, exam=a)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765418517857, student=a, exam=a)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765418518896, student=a, exam=a)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765418519241, student=a, exam=a)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765418521758, student=a, exam=a)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765418521862, student=a, exam=a)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765418530146, student=a, exam=a)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765418530217, student=a, exam=a)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765418530543, student=a, exam=a)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765418530604, student=a, exam=a)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765418530697, student=a, exam=a)
