[mouse] MOUSE (code=0, x=386, y=262, time=1763081301618, student=asd, exam=asd)
[mouse] MOUSE (code=0, x=386, y=262, time=1763081301669, student=asd, exam=asd)
[keyboard] CTRL (code=262144, x=0, y=0, time=1763081301985, student=asd, exam=asd)
[keyboard] w (code=119, x=0, y=0, time=1763081302063, student=asd, exam=asd)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763081303433, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081305644, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081305645, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081305646, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081305647, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081305648, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081305649, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081305648, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081305648, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081305649, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081305665, student=asd, exam=asd)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763081305674, student=asd, exam=asd)
[mouse] MOUSE (code=0, x=554, y=244, time=1763081305684, student=asd, exam=asd)
[keyboard] s (code=115, x=0, y=0, time=1763081305747, student=asd, exam=asd)
[keyboard] a (code=97, x=0, y=0, time=1763081305775, student=asd, exam=asd)
[keyboard] d (code=100, x=0, y=0, time=1763081305917, student=asd, exam=asd)
[keyboard] a (code=97, x=0, y=0, time=1763081306148, student=asd, exam=asd)
[keyboard] s (code=115, x=0, y=0, time=1763081306608, student=asd, exam=asd)
[keyboard] d (code=100, x=0, y=0, time=1763081306661, student=asd, exam=asd)
[keyboard] a (code=97, x=0, y=0, time=1763081306688, student=asd, exam=asd)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763081306714, student=asd, exam=asd)
[mouse] MOUSE (code=0, x=513, y=250, time=1763081306718, student=asd, exam=asd)
[mouse] MOUSE (code=0, x=513, y=250, time=1763081306726, student=asd, exam=asd)
[keyboard] ALT (code=65536, x=0, y=0, time=1763081309686, student=asd, exam=asd)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763081309779, student=asd, exam=asd)
[mouse] MOUSE (code=0, x=137, y=152, time=1765418475547, student=asd, exam=asd)
[keyboard] ESC (code=27, x=0, y=0, time=1765418476202, student=asd, exam=asd)
[keyboard] ESC (code=27, x=0, y=0, time=1765418476742, student=asd, exam=asd)
[keyboard] ESC (code=27, x=0, y=0, time=1765418477228, student=asd, exam=asd)
[mouse] MOUSE (code=0, x=137, y=152, time=1765418483775, student=asd, exam=asd)
[mouse] MOUSE (code=0, x=137, y=152, time=1765418484476, student=asd, exam=asd)
[mouse] MOUSE (code=0, x=137, y=152, time=1765418485095, student=asd, exam=asd)
[keyboard] c (code=99, x=0, y=0, time=1765418485490, student=asd, exam=asd)
[keyboard] v (code=118, x=0, y=0, time=1765418485974, student=asd, exam=asd)
[keyboard] v (code=118, x=0, y=0, time=1765418486537, student=asd, exam=asd)
[keyboard] c (code=99, x=0, y=0, time=1765418486799, student=asd, exam=asd)
[keyboard] c (code=99, x=0, y=0, time=1765418487034, student=asd, exam=asd)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1765418492374, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1765418500889, student=asd, exam=asd)
[mouse] MOUSE (code=0, x=84, y=258, time=1765418501944, student=asd, exam=asd)
[mouse] MOUSE (code=0, x=84, y=258, time=1765418502391, student=asd, exam=asd)
[keyboard] ESC (code=27, x=0, y=0, time=1765418502588, student=asd, exam=asd)
[mouse] MOUSE (code=0, x=84, y=258, time=1765418502819, student=asd, exam=asd)
[keyboard] ESC (code=27, x=0, y=0, time=1765418503169, student=asd, exam=asd)
[keyboard] c (code=99, x=0, y=0, time=1765418503766, student=asd, exam=asd)
[keyboard] v (code=118, x=0, y=0, time=1765418504020, student=asd, exam=asd)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1765418519512, student=asd, exam=asd)
