[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084985858, student=qwe, exam=qwe)
[mouse] MOUSE (code=0, x=18, y=4, time=1763084985860, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084986047, student=qwe, exam=qwe)
[mouse] MOUSE (code=0, x=20, y=5, time=1763084986054, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084986153, student=qwe, exam=qwe)
[mouse] MOUSE (code=0, x=20, y=6, time=1763084986155, student=qwe, exam=qwe)
[mouse] MOUSE (code=0, x=20, y=6, time=1763084986240, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084986364, student=qwe, exam=qwe)
[mouse] MOUSE (code=0, x=22, y=14, time=1763084986366, student=qwe, exam=qwe)
[mouse] MOUSE (code=0, x=23, y=13, time=1763084986417, student=qwe, exam=qwe)
[mouse] MOUSE (code=0, x=23, y=13, time=1763084986546, student=qwe, exam=qwe)
[mouse] MOUSE (code=0, x=23, y=13, time=1763084986613, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084986788, student=qwe, exam=qwe)
[mouse] MOUSE (code=0, x=25, y=11, time=1763084986792, student=qwe, exam=qwe)
[mouse] MOUSE (code=0, x=25, y=11, time=1763084986794, student=qwe, exam=qwe)
[mouse] MOUSE (code=0, x=26, y=11, time=1763084986925, student=qwe, exam=qwe)
[keyboard] CAPS_LOCK (code=16777298, x=0, y=0, time=1763084987703, student=qwe, exam=qwe)
[keyboard] A (code=97, x=0, y=0, time=1763084988041, student=qwe, exam=qwe)
[keyboard] J (code=106, x=0, y=0, time=1763084988361, student=qwe, exam=qwe)
[keyboard] S (code=115, x=0, y=0, time=1763084988606, student=qwe, exam=qwe)
[keyboard] D (code=100, x=0, y=0, time=1763084988717, student=qwe, exam=qwe)
[keyboard] A (code=97, x=0, y=0, time=1763084989239, student=qwe, exam=qwe)
[keyboard] B (code=98, x=0, y=0, time=1763084989359, student=qwe, exam=qwe)
[keyboard] A (code=97, x=0, y=0, time=1763084989457, student=qwe, exam=qwe)
[keyboard] C (code=99, x=0, y=0, time=1763084989711, student=qwe, exam=qwe)
[keyboard] A (code=97, x=0, y=0, time=1763084989824, student=qwe, exam=qwe)
[keyboard] X (code=120, x=0, y=0, time=1763084990043, student=qwe, exam=qwe)
[keyboard] A (code=97, x=0, y=0, time=1763084990121, student=qwe, exam=qwe)
[keyboard] A (code=97, x=0, y=0, time=1763084990544, student=qwe, exam=qwe)
[keyboard] B (code=98, x=0, y=0, time=1763084990844, student=qwe, exam=qwe)
[keyboard] A (code=97, x=0, y=0, time=1763084991007, student=qwe, exam=qwe)
[keyboard] C (code=99, x=0, y=0, time=1763084991238, student=qwe, exam=qwe)
[keyboard] A (code=97, x=0, y=0, time=1763084991331, student=qwe, exam=qwe)
[keyboard] X (code=120, x=0, y=0, time=1763084991617, student=qwe, exam=qwe)
[keyboard] I (code=105, x=0, y=0, time=1763084991773, student=qwe, exam=qwe)
[keyboard] T (code=116, x=0, y=0, time=1763084992617, student=qwe, exam=qwe)
[keyboard] A (code=97, x=0, y=0, time=1763084992738, student=qwe, exam=qwe)
[keyboard] L (code=108, x=0, y=0, time=1763084993031, student=qwe, exam=qwe)
[keyboard] O (code=111, x=0, y=0, time=1763084993235, student=qwe, exam=qwe)
[keyboard] C (code=99, x=0, y=0, time=1763084993339, student=qwe, exam=qwe)
[keyboard] O (code=111, x=0, y=0, time=1763084993425, student=qwe, exam=qwe)
[keyboard] M (code=109, x=0, y=0, time=1763084993674, student=qwe, exam=qwe)
[keyboard] E (code=101, x=0, y=0, time=1763084993828, student=qwe, exam=qwe)
[keyboard] N (code=110, x=0, y=0, time=1763084993980, student=qwe, exam=qwe)
[keyboard] O (code=111, x=0, y=0, time=1763084994058, student=qwe, exam=qwe)
[keyboard] R (code=114, x=0, y=0, time=1763084994128, student=qwe, exam=qwe)
[keyboard] S (code=115, x=0, y=0, time=1763084997244, student=qwe, exam=qwe)
[keyboard] A (code=97, x=0, y=0, time=1763084997343, student=qwe, exam=qwe)
[keyboard] I (code=105, x=0, y=0, time=1763084997373, student=qwe, exam=qwe)
[keyboard] F (code=102, x=0, y=0, time=1763084997687, student=qwe, exam=qwe)
[keyboard] O (code=111, x=0, y=0, time=1763084997755, student=qwe, exam=qwe)
[keyboard] R (code=114, x=0, y=0, time=1763084997914, student=qwe, exam=qwe)
[keyboard] A (code=97, x=0, y=0, time=1763084997943, student=qwe, exam=qwe)
[keyboard] D (code=100, x=0, y=0, time=1763084998263, student=qwe, exam=qwe)
[keyboard] A (code=97, x=0, y=0, time=1763084998332, student=qwe, exam=qwe)
[keyboard] Q (code=113, x=0, y=0, time=1763084998520, student=qwe, exam=qwe)
[keyboard] U (code=117, x=0, y=0, time=1763084998570, student=qwe, exam=qwe)
[keyboard] I (code=105, x=0, y=0, time=1763084998712, student=qwe, exam=qwe)
[keyboard] W (code=119, x=0, y=0, time=1763085002245, student=qwe, exam=qwe)
[keyboard] Í (code=105, x=0, y=0, time=1763085002340, student=qwe, exam=qwe)
[keyboard] H (code=104, x=0, y=0, time=1763085002352, student=qwe, exam=qwe)
[keyboard] Q (code=113, x=0, y=0, time=1763085002392, student=qwe, exam=qwe)
[keyboard] E (code=101, x=0, y=0, time=1763085002403, student=qwe, exam=qwe)
[keyboard] A (code=97, x=0, y=0, time=1763085002460, student=qwe, exam=qwe)
[keyboard] D (code=100, x=0, y=0, time=1763085002548, student=qwe, exam=qwe)
[keyboard] V (code=118, x=0, y=0, time=1763085002600, student=qwe, exam=qwe)
[keyboard] M (code=109, x=0, y=0, time=1763085002641, student=qwe, exam=qwe)
[keyboard] Ç (code=231, x=0, y=0, time=1763085002693, student=qwe, exam=qwe)
[keyboard] L (code=108, x=0, y=0, time=1763085002688, student=qwe, exam=qwe)
[keyboard] J (code=106, x=0, y=0, time=1763085002945, student=qwe, exam=qwe)
[keyboard] O (code=111, x=0, y=0, time=1763085002956, student=qwe, exam=qwe)
[keyboard] W (code=119, x=0, y=0, time=1763085002968, student=qwe, exam=qwe)
[keyboard] V (code=118, x=0, y=0, time=1763085003060, student=qwe, exam=qwe)
[keyboard] A (code=97, x=0, y=0, time=1763085003127, student=qwe, exam=qwe)
[keyboard] D (code=100, x=0, y=0, time=1763085003161, student=qwe, exam=qwe)
[keyboard] K (code=107, x=0, y=0, time=1763085003194, student=qwe, exam=qwe)
[keyboard] L (code=108, x=0, y=0, time=1763085003206, student=qwe, exam=qwe)
[keyboard] V (code=118, x=0, y=0, time=1763085003217, student=qwe, exam=qwe)
[keyboard] M (code=109, x=0, y=0, time=1763085003224, student=qwe, exam=qwe)
[keyboard] S (code=115, x=0, y=0, time=1763085003228, student=qwe, exam=qwe)
[keyboard]   (code=32, x=0, y=0, time=1763085003234, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763085003520, student=qwe, exam=qwe)
[keyboard] , (code=44, x=0, y=0, time=1763085003611, student=qwe, exam=qwe)
[keyboard] X (code=120, x=0, y=0, time=1763085003593, student=qwe, exam=qwe)
[keyboard]   (code=32, x=0, y=0, time=1763085003747, student=qwe, exam=qwe)
[keyboard]   (code=32, x=0, y=0, time=1763085003790, student=qwe, exam=qwe)
[keyboard]   (code=32, x=0, y=0, time=1763085004302, student=qwe, exam=qwe)
[keyboard]   (code=32, x=0, y=0, time=1763085005795, student=qwe, exam=qwe)
[keyboard]   (code=32, x=0, y=0, time=1763085006883, student=qwe, exam=qwe)
[keyboard]   (code=32, x=0, y=0, time=1763085007234, student=qwe, exam=qwe)
[keyboard]   (code=32, x=0, y=0, time=1763085007607, student=qwe, exam=qwe)
[keyboard]   (code=32, x=0, y=0, time=1763085007942, student=qwe, exam=qwe)
[keyboard]   (code=32, x=0, y=0, time=1763085008308, student=qwe, exam=qwe)
[keyboard]   (code=32, x=0, y=0, time=1763085008640, student=qwe, exam=qwe)
[keyboard]   (code=32, x=0, y=0, time=1763085008962, student=qwe, exam=qwe)
[keyboard]   (code=32, x=0, y=0, time=1763085009308, student=qwe, exam=qwe)
[keyboard]   (code=32, x=0, y=0, time=1763085011883, student=qwe, exam=qwe)
[keyboard]   (code=32, x=0, y=0, time=1763085012137, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763085013460, student=qwe, exam=qwe)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763085013610, student=qwe, exam=qwe)
[keyboard] ESC (code=27, x=0, y=0, time=1763085013892, student=qwe, exam=qwe)
[keyboard] ESC (code=27, x=0, y=0, time=1763085014139, student=qwe, exam=qwe)
[keyboard] ESC (code=27, x=0, y=0, time=1763085014323, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763085014473, student=qwe, exam=qwe)
